time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,7.388120965698403e-08,4.065355703837021e-08,10.001775858101412,5.213928301195381e-05,6.2830457858083335,0.0,8.715052753574792e-06,3.909028754625172e-06,0.05919347305397943,0.0025527961393818433,-0.007437354063663025,0.0,425.15216462208883,424.5146238961615,422.5648505769346,422.7847949358736
0.12000000000000001,4.56914854285342e-06,2.161016791067647e-06,10.012409751498053,6.283138380127436,0.00029499528581666823,0.0,0.00012989308398559594,7.216075583559579e-05,0.29523783956049215,-0.011768835983318956,0.02682110468828919,0.0,475.8616446267951,478.4764171364272,479.6417587086891,478.55308687309565
0.18,2.550783998812971e-07,3.120069085201761e-06,10.033036316228571,6.2827041940344515,0.0016665397260604564,0.0,-0.0004265779063634453,-9.681379015281358e-05,0.39228523205018495,0.0005615631683890199,0.013444969972175333,0.0,437.27160145772604,436.156119914387,434.908789320277,435.9402556357784
0.23999999999999996,-6.764352967426649e-05,-1.3355893708351503e-05,10.061934541234303,6.282244506792811,0.0028665944322838754,0.0,-0.0019534133743561695,-0.00046514609507474923,0.5709159621227333,-0.03414569005488967,0.030646226324058643,0.0,460.01319612489544,461.3730381187376,463.3980420515,460.6621706145161
0.3,-0.0002507096499638933,-6.847862305978266e-05,10.099095268173548,6.279886747735292,0.004454508771353005,0.0,-0.004324300059363485,-0.0015931052976176762,0.6677218755834657,-0.052357126232695,0.01641743650409945,0.0,437.4585847556787,436.2724938885708,436.3780996254971,434.85456488821245
0.36000000000000004,-0.0005884237753943672,-0.00022934876644070605,10.138350365707279,6.276877980087512,0.005599593588638818,0.0,-0.007021934046540972,-0.0040249045122897585,0.640795580790337,-0.04605647342776309,0.023946551211174623,0.0,394.56330091655985,395.2576990482296,394.90540679487145,395.484140061192
0.4200000000000001,-0.0011382847978479577,-0.0006201895932334127,10.181068939504847,6.2736404065240166,0.0068887304671925165,0.0,-0.011454387788604307,-0.009317827537053647,0.7830665098748529,-0.07856164321609602,0.01604380755164985,0.0,450.53307038811766,449.89375005542087,452.2314136826079,449.60365107151034
0.48000000000000015,-0.0019487363072954662,-0.001361009686990618,10.227833377331423,6.2687582622307545,0.007732402349592604,0.0,-0.015638771197192848,-0.015788809326515385,0.7757479012589211,-0.087671631205221,0.009767916413731736,0.0,401.74918225202885,401.1797297744426,403.08567875669434,402.25551385149896
0.5400000000000001,-0.003053143863639851,-0.0026347396030387635,10.277907203081673,6.263200461276959,0.008202732070135887,0.0,-0.02122974719903787,-0.02723069831826165,0.8932849311421123,-0.10505693059227322,0.003670765603865785,0.0,443.26364560181844,442.7622626141109,443.89807735011635,442.4618560031276
0.6000000000000002,-0.004504446060861594,-0.004723195771785324,10.33533142117409,6.256648025984127,0.00873505889956494,0.0,-0.027187791156837567,-0.04306231071784182,1.0207343695328008,-0.11915613702882337,0.017647152428692137,0.0,445.5934859943442,446.73433144906073,447.23590237783117,446.07560369797375
0.6600000000000003,-0.006349694394833386,-0.007973602062768466,10.402843566217955,6.249056517960792,0.009967138033263545,0.0,-0.03445468101934318,-0.06614093789514351,1.2294423309366092,-0.1483402384139879,0.025760621633403757,0.0,470.6758747796222,471.30326054846796,472.7276329962966,470.45945514711315
0.7200000000000003,-0.00858949911959484,-0.012542152708712461,10.475715475364309,6.2398735966104475,0.012018230273877606,0.0,-0.04035798936770124,-0.08689192825336767,1.1996227552153496,-0.1646751634374594,0.04719999875700369,0.0,393.34693973007,395.3278118076264,396.9930515005378,395.4659628256175
0.7800000000000004,-0.01126577457510916,-0.018672672968005875,10.550332452585048,6.229694858486942,0.014649086503869313,0.0,-0.049125023581364044,-0.118456822021112,1.2874620678068351,-0.1821002463588069,0.03612239588824324,0.0,435.9129951399781,434.98752857850025,434.7656246268401,433.27464698326264
0.8400000000000004,-0.014581099064436654,-0.027135957811207048,10.634326642090128,6.219069659264223,0.016641444696860574,0.0,-0.061633519595190804,-0.16493340385438207,1.511992347560076,-0.168593198941897,0.026622258551312773,0.0,476.87245889958973,476.1466441921341,476.6298074122899,477.6328344068857
0.9000000000000005,-0.01863388692194009,-0.03841155234996637,10.728266423249112,6.209263246048643,0.01851566978540653,0.0,-0.07363756893814327,-0.21193500548170702,1.6191096509377034,-0.1547450219291813,0.03915607434211237,0.0,441.73259526635866,442.7652196725271,441.12299908679995,442.2391634432639
0.9600000000000005,-0.023479694220892067,-0.05283064250539436,10.830220922827783,6.199944203345247,0.02032936149291853,0.0,-0.08813136311511485,-0.269714775403415,1.7790451415464736,-0.15648584711952007,-0.0011869257620592284,0.0,460.926445600056,457.72754540007486,458.3750803246192,458.21470920271946
1.0200000000000005,-0.02929618133046769,-0.07122220323901626,10.94522647877838,6.19055676508159,0.020093818457986856,0.0,-0.1057234668944791,-0.34449950418753206,2.053903274159762,-0.1564003544778315,-0.010059727318238485,0.0,493.36378135476,492.7083601245212,493.401862100942,493.38766032310525
1.0800000000000005,-0.0360602177544093,-0.09387596018575031,11.071751407767398,6.18113760797754,0.01920541371061457,0.0,-0.11966532539166208,-0.41157954472020003,2.1632857763751696,-0.15818204649839668,-0.026572552909971122,0.0,445.6610368736871,444.30942974857544,445.29408738897814,445.1250171148256
